Timestamp (s),ArmDisarm,DesiredSpeed (m/s),LongitudinalSpeed (m/s),LateralSpeed (m/s),MeasuredSpeed (m/s),ObstacleDistance (m),Steering (rad),SystemCmdSpeed (m/s),SystemCmdSteering (rad),YawAngle (rad),YawRate (rad/s),Throttle (%),DataType
0.118333,0,0,0,0,0,1.08795,0.0926684,0,0.0926684,0,0,0,1
0.12,0,0,0,0,0,2.37144,0.0926684,0,0.0926684,0,0,0,1
0.121667,0,0,0,0,0,2.37144,0.0926684,0,0.0926684,0,0,0,1
0.123333,0,0,0,0,0,2.37144,0.0926684,0,0.0926684,0,0,0,1
0.125,0,0,0,0,0,2.37144,0.0671978,0,0.0671978,0,0,0,1
0.126667,0,0,0,0,0,2.37144,0.0671978,0,0.0671978,0,0,0,1
0.128333,0,0,0,0,0,2.37144,0.0671978,0,0.0671978,0,0,0,1
0.13,0,0,0,0,0,2.38852,0.0671978,0,0.0671978,0,0,0,1
0.131667,0,0,0,0,0,2.38852,0.0671978,0,0.0671978,0,0,0,1
0.133333,0,0,0,0,0,2.38852,0.0671978,0,0.0671978,0,0,0,1
0.135,0,0,0,0,0,2.38852,0.0671978,0,0.0671978,0,0,0,1
0.136667,0,0,0,0,0,2.38852,0.0671978,0,0.0671978,0,0,0,1
0.138333,0,0,0,0,0,2.38852,0.0671978,0,0.0671978,0,0,0,1
0.14,0,0,0,0,0,2.43567,0.0671978,0,0.0671978,0,0,0,1
0.141667,0,0,0,0,0,2.43567,0.0884928,0,0.0884928,0,0,0,1
0.143333,0,0,0,0,0,2.43567,0.0884928,0,0.0884928,0,0,0,1
0.145,0,0,0,0,0,2.43567,0.0884928,0,0.0884928,0,0,0,1
0.146667,0,0,0,0,0,2.43567,0.0884928,0,0.0884928,0,0,0,1
0.148333,0,0,0,0,0,2.43567,0.0884928,0,0.0884928,0,0,0,1
0.15,0,0,0,0,0,2.39408,0.0884928,0,0.0884928,0,0,0,1
0.151667,0,0,0,0,0,2.39408,0.0884928,0,0.0884928,0,0,0,1
0.153333,0,0,0,0,0,2.39408,0.0884928,0,0.0884928,0,0,0,1
0.155,0,0,0,0,0,2.39408,0.0884928,0,0.0884928,0,0,0,1
